Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|P10515|ODP2_HUMAN,1.39E+06,1.90E+06,2.45E+05,1.25E+06,1.15E+05,5.66E+05,0,1.66E+06,6.43E+05
sp|P10599|THIO_HUMAN,0,1.83E+05,0,7.94E+05,2.04E+05,0,0,1.69E+05,0
sp|P10809|CH60_HUMAN,1.09E+06,7.83E+05,0,1.45E+06,0,4.85E+04,0,1.57E+06,7.46E+05
sp|P11021|BIP_HUMAN,2.57E+05,3.22E+05,0,5.86E+05,0,0,0,4.99E+05,6.49E+05
sp|P11142|HSP7C_HUMAN,2.30E+06,1.67E+06,0,2.17E+06,0,0,0,2.74E+06,1.71E+06
sp|P11171|41_HUMAN,9.63E+04,7.19E+04,0,1.02E+05,0,3.06E+04,0,1.21E+05,8.72E+04
sp|P11234|RALB_HUMAN,6.21E+04,0,0,0,0,0,0,0,0
sp|P11387|TOP1_HUMAN,0,0,0,0,0,0,0,5.91E+04,0
sp|P11940|PABP1_HUMAN,2.69E+06,2.71E+06,1.42E+06,2.19E+06,8.22E+05,2.79E+06,5.29E+05,1.38E+06,1.96E+06
sp|P12004|PCNA_HUMAN,7.26E+05,4.15E+05,0,3.04E+05,0,0,0,5.83E+05,1.43E+05
sp|P12236|ADT3_HUMAN,2.33E+05,3.58E+05,8.03E+04,3.21E+05,1.93E+05,0,1.12E+05,2.27E+05,1.04E+05
sp|P12270|TPR_HUMAN,1.52E+05,2.76E+05,0,2.76E+05,0,1.20E+03,0,2.25E+05,4.87E+05
sp|P12273|PIP_HUMAN,2.28E+05,1.81E+05,0,9.67E+05,0,0,1.36E+07,2.82E+05,3.25E+05
sp|P12532|KCRU_HUMAN,0,0,0,2.16E+05,0,0,0,1.71E+05,3.60E+04
sp|P12956|XRCC6_HUMAN,9.14E+05,3.59E+05,0,5.92E+05,0,0,0,1.32E+06,4.84E+05
sp|P13010|XRCC5_HUMAN,2.95E+05,3.01E+05,0,4.83E+05,0,3.54E+03,0,6.59E+05,1.99E+05
sp|P13489|RINI_HUMAN,7.32E+04,0,0,0,2.79E+04,1.38E+04,0,0,0
sp|P13639|EF2_HUMAN,0,0,0,6.34E+04,0,0,0,2.95E+04,6.15E+04
sp|P13674|P4HA1_HUMAN,6.93E+04,3.53E+04,0,4.11E+04,0,0,0,0,0
sp|P13861|KAP2_HUMAN,6.97E+05,1.89E+05,0,4.22E+05,0,1.56E+05,0,4.25E+05,2.47E+05
sp|P13987|CD59_HUMAN,9.09E+04,1.66E+06,0,3.00E+06,0,0,0,2.55E+06,4.14E+06
sp|P14373|TRI27_HUMAN,1.55E+05,1.05E+05,0,0,0,0,0,9.13E+04,0
sp|P14406|CX7A2_HUMAN,0,0,0,0,0,0,0,3.14E+05,3.47E+05
sp|P14618|KPYM_HUMAN,2.82E+04,0,0,1.04E+05,0,0,0,7.14E+04,5.43E+04
sp|P14625|ENPL_HUMAN,4.52E+05,3.13E+05,0,2.49E+05,0,7.95E+04,0,5.11E+05,8.76E+04
sp|P63162|RSMN_HUMAN,2.82E+06,4.27E+06,9.53E+05,6.16E+05,0,0,0,7.69E+05,4.80E+05
sp|P14866|HNRPL_HUMAN,3.08E+06,1.87E+06,0,2.18E+06,5.93E+03,3.37E+05,0,2.33E+06,1.80E+06
sp|P14868|SYDC_HUMAN,1.97E+05,1.18E+05,0,8.87E+05,0,3.43E+05,0,4.02E+05,1.48E+05
sp|P14923|PLAK_HUMAN,1.49E+05,1.39E+05,6.28E+03,6.48E+05,1.11E+05,3.03E+05,0,8.27E+05,2.01E+05
sp|P15170|ERF3A_HUMAN,0,0,0,0,0,0,0,6.18E+04,0
sp|P15880|RS2_HUMAN,1.63E+06,3.21E+06,1.03E+06,4.21E+06,1.61E+06,1.10E+04,1.72E+04,7.98E+05,1.05E+06
sp|P15924|DESP_HUMAN,7.50E+04,1.09E+05,0,1.87E+05,0,2.07E+05,0,5.27E+05,6.77E+04
sp|P15927|RFA2_HUMAN,2.10E+05,1.48E+05,0,1.38E+05,0,0,0,1.57E+05,1.69E+05
sp|P16104|H2AX_HUMAN,4.45E+06,2.01E+06,9.63E+05,7.81E+06,1.47E+06,1.87E+06,6.70E+05,1.79E+06,1.57E+06
sp|P16402|H13_HUMAN,6.98E+06,8.42E+06,2.69E+06,1.03E+07,6.86E+06,3.53E+06,8.51E+05,3.66E+06,3.41E+06
sp|P16403|H12_HUMAN,3.73E+07,4.81E+07,1.05E+07,6.59E+07,2.00E+07,2.47E+07,1.55E+06,7.13E+06,1.03E+07
sp|P16615|AT2A2_HUMAN,7.26E+04,5.43E+04,0,1.23E+04,0,1.13E+04,0,6.68E+04,4.12E+04
sp|P16989|YBOX3_HUMAN,4.57E+06,3.15E+06,8.58E+05,5.98E+06,1.61E+06,2.61E+06,5.69E+05,2.80E+06,2.06E+06
sp|P17066|HSP76_HUMAN,3.55E+04,4.71E+04,0,2.95E+05,0,9.80E+03,0,2.61E+05,3.40E+05
sp|P17844|DDX5_HUMAN,1.32E+07,1.48E+07,8.54E+06,8.59E+06,6.78E+06,8.07E+06,4.94E+06,6.38E+06,6.16E+06
sp|P17980|PRS6A_HUMAN,0,0,0,0,0,0,0,1.27E+05,0
sp|P17987|TCPA_HUMAN,2.15E+06,9.48E+05,9.21E+04,1.62E+06,2.28E+05,2.93E+05,2.08E+05,2.00E+06,8.50E+05
sp|P18077|RL35A_HUMAN,3.93E+05,2.08E+05,0,6.66E+05,0,0,0,2.39E+05,1.65E+05
sp|P18085|ARF4_HUMAN,0,0,0,0,0,0,0,0,0
sp|P18124|RL7_HUMAN,5.38E+05,4.36E+05,0,8.13E+05,6.15E+04,4.20E+04,0,6.34E+05,2.10E+05
sp|P18583|SON_HUMAN,5.87E+05,4.98E+05,0,7.95E+05,7.49E+04,5.64E+04,9.92E+04,1.43E+06,1.12E+06
sp|P18621|RL17_HUMAN,1.95E+08,2.73E+08,1.39E+08,1.56E+08,2.00E+08,2.02E+08,1.02E+07,1.26E+07,1.59E+07
sp|P19338|NUCL_HUMAN,7.70E+05,1.07E+06,2.99E+05,7.08E+05,3.38E+04,0,0,6.81E+05,4.24E+05
sp|P19367|HXK1_HUMAN,0,0,0,0,0,0,0,0,1.26E+04
sp|P19525|E2AK2_HUMAN,8.21E+06,1.92E+07,8.78E+06,0,0,0,0,2.79E+04,0
sp|P20042|IF2B_HUMAN,1.77E+06,3.29E+05,0,1.26E+05,5.34E+04,0,0,2.20E+05,1.43E+05
sp|P20290|BTF3_HUMAN,1.90E+05,3.40E+05,1.90E+04,4.09E+05,3.77E+04,5.25E+04,0,4.92E+04,0
sp|P20339|RAB5A_HUMAN,0,0,0,0,0,0,0,4.06E+04,0
sp|Q9NRW1|RAB6B_HUMAN,3.70E+05,4.13E+05,0,3.30E+05,0,0,0,3.52E+05,3.17E+05
sp|P20700|LMNB1_HUMAN,2.81E+05,3.82E+05,2.20E+04,3.50E+05,0,0,1.47E+04,2.82E+05,5.72E+05
sp|Q9UQ88|CD11A_HUMAN,1.64E+04,0,0,0,0,0,0,3.65E+04,1.26E+04
sp|P21281|VATB2_HUMAN,4.68E+04,0,0,0,0,0,0,5.34E+04,0
sp|P21283|VATC1_HUMAN,4.47E+04,0,0,3.08E+04,0,0,0,1.04E+05,0
sp|P21333|FLNA_HUMAN,1.05E+06,4.29E+05,0,8.07E+05,0,2.81E+05,0,1.21E+06,3.27E+05
sp|P21796|VDAC1_HUMAN,1.44E+06,2.51E+06,3.37E+05,2.30E+06,1.57E+06,1.70E+06,5.21E+05,2.05E+06,2.49E+06
sp|P21980|TGM2_HUMAN,0,0,0,4.52E+05,0,0,0,0,0
sp|P22087|FBRL_HUMAN,8.80E+04,2.01E+05,0,1.11E+05,0,0,0,6.37E+04,0
sp|P22102|PUR2_HUMAN,0,0,0,1.60E+04,0,0,0,4.72E+04,2.09E+04
sp|P22234|PUR6_HUMAN,1.13E+05,9.71E+04,1.78E+04,0,2.92E+04,4.14E+04,2.01E+04,4.69E+04,1.07E+05
sp|P22314|UBA1_HUMAN,9.03E+04,6.35E+04,0,7.38E+04,0,3.61E+05,0,1.36E+05,0
sp|P22528|SPR1B_HUMAN,1.44E+05,3.27E+05,0,0,0,3.40E+05,0,4.99E+05,0
sp|P35326|SPR2A_HUMAN,1.27E+05,3.08E+05,0,0,0,1.36E+06,0,5.49E+05,0
sp|P22626|ROA2_HUMAN,1.48E+07,2.32E+07,4.73E+06,1.79E+07,1.10E+07,1.00E+07,2.36E+06,1.93E+07,1.10E+07
sp|P22695|QCR2_HUMAN,5.48E+05,2.28E+05,0,4.00E+05,0,2.80E+05,0,4.43E+05,3.29E+05
sp|P22735|TGM1_HUMAN,0,0,0,2.82E+04,0,0,0,9.43E+04,1.72E+04
sp|P23246|SFPQ_HUMAN,4.11E+06,2.78E+06,2.79E+06,3.09E+06,9.48E+05,1.09E+06,8.36E+03,2.09E+06,5.21E+05
sp|P23284|PPIB_HUMAN,0,0,0,0,0,0,0,0,5.44E+04
sp|P23396|RS3_HUMAN,2.13E+06,2.44E+06,4.84E+04,2.40E+06,1.04E+06,1.36E+06,8.21E+04,2.46E+06,1.59E+06
sp|P23490|LORI_HUMAN,0,0,0,8.92E+05,0,0,0,2.15E+06,4.55E+05
sp|P23528|COF1_HUMAN,2.02E+05,1.35E+05,5.21E+04,1.92E+05,1.01E+05,0,5.82E+04,1.19E+05,1.60E+05
sp|P23921|RIR1_HUMAN,2.11E+04,0,0,0,0,0,0,0,0
sp|P24534|EF1B_HUMAN,7.70E+04,8.31E+04,0,8.54E+04,0,0,0,9.92E+04,8.69E+04
sp|P24539|AT5F1_HUMAN,0,9.34E+04,0,0,0,0,0,0,1.85E+05
sp|P24928|RPB1_HUMAN,7.96E+03,6.85E+03,0,0,0,0,0,0,0
sp|P25205|MCM3_HUMAN,2.16E+05,1.21E+05,3.23E+04,1.76E+05,9.36E+04,1.03E+05,0,2.21E+05,4.18E+04
sp|P25311|ZA2G_HUMAN,0,0,0,4.29E+05,0,0,4.03E+05,2.28E+05,0
sp|P25398|RS12_HUMAN,3.41E+06,3.69E+06,3.13E+05,2.75E+06,9.35E+05,4.99E+05,4.11E+05,2.27E+06,1.70E+06
sp|P25705|ATPA_HUMAN,1.11E+06,6.92E+05,0,9.26E+05,0,0,0,8.29E+05,5.89E+05
sp|P25788|PSA3_HUMAN,0,0,0,0,2.52E+04,4.60E+04,0,0,0
sp|P26196|DDX6_HUMAN,0,7.76E+04,0,1.64E+05,0,0,0,6.27E+04,1.06E+05
sp|P26368|U2AF2_HUMAN,5.24E+06,4.98E+06,9.18E+05,7.78E+06,6.17E+06,5.15E+05,1.75E+06,1.17E+07,1.14E+07
sp|P26373|RL13_HUMAN,3.15E+06,2.30E+06,9.34E+03,3.68E+06,3.54E+04,5.20E+05,0,6.67E+05,3.87E+05
sp|P26599|PTBP1_HUMAN,1.92E+07,3.17E+07,1.27E+07,1.11E+07,1.00E+07,1.70E+07,2.71E+06,6.91E+06,7.93E+06
sp|P26640|SYVC_HUMAN,6.20E+05,4.69E+05,1.59E+04,3.82E+05,1.35E+04,1.45E+05,0,6.59E+05,2.72E+05
sp|P26641|EF1G_HUMAN,2.76E+06,2.23E+06,1.60E+05,2.34E+06,5.74E+05,9.13E+05,1.41E+05,2.31E+06,1.47E+06
sp|P27348|1433T_HUMAN,0,4.10E+04,0,3.67E+04,0,2.41E+05,0,4.41E+04,0
sp|P27361|MK03_HUMAN,3.02E+04,3.19E+04,0,0,0,0,0,2.58E+04,0
sp|P27635|RL10_HUMAN,1.58E+06,3.74E+06,0,6.54E+06,3.59E+06,1.89E+06,0,4.55E+05,4.00E+05
sp|P27694|RFA1_HUMAN,2.28E+05,1.33E+05,0,2.55E+05,0,0,0,3.56E+05,4.26E+05
sp|P27708|PYR1_HUMAN,4.63E+04,2.55E+04,0,3.99E+04,0,0,0,3.65E+04,1.96E+04
sp|P27824|CALX_HUMAN,3.46E+04,0,0,0,0,0,0,0,0
sp|P28288|ABCD3_HUMAN,3.88E+04,4.70E+04,0,3.03E+04,1.02E+04,0,0,8.73E+04,6.66E+04
sp|P28482|MK01_HUMAN,0,0,2.40E+04,5.56E+04,4.17E+04,0,0,4.43E+04,0
sp|P48594|SPB4_HUMAN,0,0,0,0,0,9.02E+03,4.92E+03,2.07E+04,0
sp|P29558|RBMS1_HUMAN,1.21E+05,7.17E+04,0,0,0,0,0,0,0
sp|P29590|PML_HUMAN,2.69E+04,2.15E+04,0,2.07E+04,0,0,0,1.48E+04,0
sp|P29692|EF1D_HUMAN,2.81E+04,0,0,5.98E+04,0,0,0,3.47E+04,3.14E+04
sp|P30050|RL12_HUMAN,1.10E+06,1.28E+06,0,1.71E+06,0,0,0,1.35E+06,1.52E+06
sp|P30153|2AAA_HUMAN,0,8.99E+04,0,3.25E+04,0,0,0,4.66E+04,0
sp|P31025|LCN1_HUMAN,0,0,8.66E+05,1.69E+05,0,0,1.01E+08,1.51E+06,9.20E+04
sp|P31151|S10A7_HUMAN,0,0,0,0,0,2.98E+05,0,0,1.20E+05
sp|P31323|KAP3_HUMAN,5.48E+04,0,0,0,0,0,0,0,0
sp|P31483|TIA1_HUMAN,3.78E+04,3.70E+04,0,4.34E+04,0,4.17E+04,0,3.44E+04,0
sp|P31930|QCR1_HUMAN,2.49E+05,8.92E+04,0,0,2.26E+04,0,0,2.55E+05,1.23E+05
sp|P31942|HNRH3_HUMAN,9.91E+05,1.96E+06,0,1.56E+06,0,2.29E+05,0,9.41E+05,8.74E+05
sp|P31943|HNRH1_HUMAN,4.27E+07,6.74E+07,3.11E+07,1.17E+07,1.08E+07,1.37E+07,3.53E+06,1.14E+07,1.14E+07
sp|P31944|CASPE_HUMAN,0,1.85E+05,0,7.58E+04,0,3.98E+05,0,1.55E+05,5.92E+04
sp|P32119|PRDX2_HUMAN,0,0,0,2.16E+05,0,3.05E+04,0,3.07E+05,0
sp|P32969|RL9_HUMAN,5.20E+05,4.19E+05,0,6.99E+05,0,0,0,4.36E+05,4.10E+05
sp|P33240|CSTF2_HUMAN,2.49E+05,9.78E+04,0,1.48E+05,0,0,0,1.61E+05,3.20E+04
sp|P33991|MCM4_HUMAN,1.14E+05,5.31E+04,0,7.22E+04,0,0,0,3.51E+04,5.71E+04
sp|P33992|MCM5_HUMAN,2.74E+04,6.21E+04,0,3.97E+04,0,2.12E+04,0,5.90E+04,1.01E+05
sp|P33993|MCM7_HUMAN,1.17E+05,1.46E+05,0,9.57E+04,0,0,0,1.78E+05,8.09E+04
sp|P35222|CTNB1_HUMAN,0,2.22E+04,0,0,0,0,0,3.25E+04,0
sp|P35232|PHB_HUMAN,1.86E+06,1.82E+06,2.34E+03,1.67E+06,6.07E+04,3.50E+05,0,1.87E+06,2.01E+06
sp|P35244|RFA3_HUMAN,0,3.27E+05,0,1.89E+05,0,0,0,1.69E+05,8.95E+04
sp|P35268|RL22_HUMAN,5.48E+06,6.31E+06,8.72E+04,8.43E+06,4.64E+05,0,0,5.65E+06,3.77E+06
sp|P35269|T2FA_HUMAN,5.54E+04,3.52E+04,0,5.22E+04,2.35E+04,2.11E+04,0,0,0
sp|P35579|MYH9_HUMAN,1.25E+05,1.08E+05,0,1.14E+05,0,6.23E+03,0,2.47E+05,3.83E+04
sp|P35580|MYH10_HUMAN,2.72E+05,1.46E+05,0,5.01E+05,7.75E+03,1.29E+05,0,5.04E+05,6.58E+04
sp|P35606|COPB2_HUMAN,1.21E+05,2.31E+04,0,0,0,2.87E+04,0,5.22E+04,5.20E+05
sp|P35611|ADDA_HUMAN,1.59E+05,1.17E+05,0,1.93E+05,0,0,7.12E+03,1.92E+05,1.01E+05
sp|P35637|FUS_HUMAN,9.40E+06,8.81E+06,2.65E+06,6.93E+06,3.91E+06,4.30E+06,1.94E+06,1.44E+06,1.44E+06
sp|P35998|PRS7_HUMAN,2.18E+05,1.03E+05,0,1.05E+05,3.46E+03,9.79E+04,0,4.55E+04,0
sp|P36542|ATPG_HUMAN,1.44E+05,1.72E+05,0,0,0,5.05E+04,0,0,1.23E+05
sp|P36578|RL4_HUMAN,2.59E+05,1.52E+05,0,1.85E+05,0,0,0,5.09E+04,0
sp|P36776|LONM_HUMAN,0,2.29E+04,0,0,0,0,0,0,2.77E+04
sp|P36873|PP1G_HUMAN,0,3.68E+04,0,0,0,0,0,0,0
sp|P37108|SRP14_HUMAN,3.43E+06,8.74E+04,5.92E+06,2.28E+06,4.38E+06,3.75E+06,0,1.80E+06,2.28E+05
sp|P38159|RBMX_HUMAN,3.22E+06,2.96E+06,1.18E+04,3.64E+06,1.48E+05,2.34E+06,5.32E+04,2.13E+06,1.55E+06
sp|P38432|COIL_HUMAN,2.11E+05,1.45E+05,1.89E+04,5.37E+05,1.94E+05,0,4.86E+04,3.20E+05,1.24E+05
sp|P38646|GRP75_HUMAN,9.19E+05,7.88E+05,0,9.07E+05,0,8.85E+03,0,7.77E+05,7.98E+05
sp|P38919|IF4A3_HUMAN,8.31E+06,8.54E+06,2.94E+06,6.76E+06,2.99E+06,3.56E+06,4.55E+06,1.07E+07,1.22E+07
sp|P38935|SMBP2_HUMAN,3.29E+04,3.20E+04,0,2.27E+04,1.32E+04,2.56E+04,0,0,0
sp|P39019|RS19_HUMAN,1.33E+06,1.12E+06,0,1.33E+06,4.02E+04,2.93E+06,0,1.43E+06,1.09E+06
sp|P39023|RL3_HUMAN,1.00E+05,2.00E+05,0,8.96E+04,0,0,0,0,0
sp|P39656|OST48_HUMAN,3.22E+04,4.94E+04,0,0,0,0,0,8.97E+04,5.20E+04
sp|P39748|FEN1_HUMAN,3.84E+04,3.71E+04,0,0,0,0,0,6.22E+04,0
sp|P40227|TCPZ_HUMAN,7.15E+05,3.48E+06,2.06E+06,1.75E+06,2.68E+06,1.99E+06,4.68E+05,1.16E+06,9.22E+05
sp|P40429|RL13A_HUMAN,3.45E+05,1.41E+06,2.24E+05,1.75E+06,3.95E+05,8.57E+05,8.28E+04,1.11E+05,3.54E+05
sp|P40939|ECHA_HUMAN,2.92E+05,4.47E+05,0,8.36E+05,0,2.66E+05,3.29E+03,6.05E+05,5.70E+05
sp|P41091|IF2G_HUMAN,5.00E+05,4.05E+05,0,4.73E+05,0,0,0,5.15E+05,1.31E+05
sp|P41223|BUD31_HUMAN,3.43E+05,6.31E+05,0,6.96E+05,0,5.13E+05,0,1.36E+06,7.66E+05
sp|P41240|CSK_HUMAN,1.80E+04,0,0,0,1.73E+04,0,0,0,0
sp|P41252|SYIC_HUMAN,4.21E+05,3.88E+05,1.49E+04,5.38E+05,5.86E+04,1.03E+05,0,5.67E+05,2.05E+05
sp|P42224|STAT1_HUMAN,0,0,0,0,7.73E+03,0,0,0,0
sp|P42285|MTREX_HUMAN,8.64E+05,5.48E+05,0,6.26E+05,0,1.31E+04,0,6.39E+05,2.22E+05
sp|P42677|RS27_HUMAN,1.91E+07,1.40E+07,7.95E+06,3.17E+07,2.76E+07,2.83E+06,5.36E+06,1.07E+07,8.23E+06
sp|P42704|LPPRC_HUMAN,3.46E+06,4.29E+06,4.07E+05,3.20E+06,6.05E+05,8.43E+05,2.59E+05,4.07E+06,3.93E+06
sp|P42766|RL35_HUMAN,6.21E+07,1.13E+08,5.47E+07,1.27E+08,7.77E+07,9.15E+07,5.63E+05,1.27E+07,4.85E+06
sp|P43243|MATR3_HUMAN,2.06E+07,1.84E+07,1.03E+07,1.73E+07,1.11E+07,1.28E+07,7.05E+06,1.30E+07,1.42E+07
sp|P43307|SSRA_HUMAN,0,0,0,0,0,0,0,1.06E+05,2.72E+05
sp|P43686|PRS6B_HUMAN,1.14E+05,0,0,1.52E+05,0,0,0,2.48E+05,4.49E+04
sp|P45880|VDAC2_HUMAN,1.89E+06,3.17E+06,1.68E+05,1.81E+06,2.71E+05,1.49E+06,2.97E+05,2.89E+06,2.80E+06
sp|P46060|RAGP1_HUMAN,3.31E+05,3.21E+05,0,3.19E+05,0,0,0,3.34E+05,5.56E+05
sp|P46087|NOP2_HUMAN,0,5.29E+04,0,3.65E+04,0,1.43E+04,0,3.01E+04,0
sp|P46199|IF2M_HUMAN,6.17E+04,0,0,0,0,0,0,2.83E+04,0
sp|P46736|BRCC3_HUMAN,0,0,0,4.08E+04,0,0,0,4.82E+04,0
sp|P46776|RL27A_HUMAN,1.39E+07,2.25E+07,3.94E+06,2.24E+07,3.64E+06,3.47E+06,2.49E+05,9.94E+05,1.13E+06
sp|P46777|RL5_HUMAN,2.44E+05,4.16E+05,0,8.37E+05,0,0,0,5.09E+04,0
sp|P46778|RL21_HUMAN,0,0,0,2.76E+05,0,0,0,0,0
sp|P46779|RL28_HUMAN,2.17E+05,1.10E+06,0,2.45E+05,0,0,0,8.92E+04,0
sp|P46781|RS9_HUMAN,3.70E+07,6.08E+07,2.53E+07,3.77E+07,6.11E+07,3.74E+07,2.11E+05,3.54E+06,3.78E+06
sp|P46782|RS5_HUMAN,1.15E+06,2.08E+06,3.59E+05,4.85E+06,2.29E+06,4.99E+05,1.20E+05,3.98E+06,2.03E+06
sp|P46783|RS10_HUMAN,0,9.74E+04,0,3.53E+05,0,0,0,3.05E+05,1.21E+05
sp|P47897|SYQ_HUMAN,2.68E+05,1.64E+05,0,2.82E+05,0,0,0,3.04E+05,1.03E+05
sp|P47914|RL29_HUMAN,2.47E+06,3.00E+06,6.51E+05,4.10E+06,6.94E+05,5.40E+06,0,7.24E+05,6.73E+05
sp|P47929|LEG7_HUMAN,0,1.27E+05,0,0,0,0,0,0,0
sp|P47985|UCRI_HUMAN,0,0,0,0,0,0,0,0,0
sp|P48047|ATPO_HUMAN,1.61E+05,2.41E+05,0,0,0,0,0,0,1.30E+05
sp|P48444|COPD_HUMAN,0,0,0,0,0,0,0,0,0
sp|P48634|PRC2A_HUMAN,0,4.55E+03,0,6.01E+03,0,0,0,7.86E+03,0
sp|P48643|TCPE_HUMAN,5.14E+05,1.24E+05,0,8.08E+05,1.14E+04,0,0,9.27E+05,4.30E+05
sp|P49207|RL34_HUMAN,1.90E+06,1.94E+06,3.08E+04,2.40E+06,9.07E+04,1.21E+05,0,2.51E+05,0
sp|P49327|FAS_HUMAN,3.75E+05,2.99E+05,1.25E+04,4.00E+05,1.64E+04,4.00E+04,1.00E+04,6.35E+05,3.06E+05
